Sign,AngleX,AngleY,AngleZ,Finger1,Finger2,Finger3,Finger4,Finger5
A,17.09,15.65,47.65,308
A,17.09,16.06,46.87,362
A,17.78,16.38,47.49,629
A,18.57,16.96,47.76,800
A,18.37,16.38,48.49,623
B,17.97,16.56,47.49,320
B,17.09,16.06,46.87,245
B,17.09,16.06,46.87,251
B,17.70,16.06,47.94,322
B,17.57,16.56,46.80,539
C,17.09,16.06,46.87,296
C,17.09,16.06,46.87,340
C,17.57,15.95,47.94,477
C,17.78,16.78,46.76,764
C,18.57,16.96,47.76,781
A,316.40,39.64,311.02,5
A,315.83,37.99,308.80,5
A,318.07,37.21,310.21,5
A,317.73,35.69,308.31,4
A,317.93,34.27,307.05,5
A,316.40,37.99,309.35,5
A,310.46,41.51,307.05,5
A,309.35,43.93,308.31,5
A,309.35,45.00,309.35,5
A,311.02,43.99,310.03,4
A,313.45,44.03,312.48,5
A,312.61,39.93,307.60,5
A,313.48,41.71,310.21,5
A,311.99,41.28,308.31,4
A,311.99,42.34,309.35,4
A,312.05,42.40,309.47,4
A,311.42,37.48,304.08,4
A,312.97,31.84,300.05,4
A,309.47,41.38,305.96,5
A,304.42,40.86,300.65,5
A,304.44,46.92,306.25,4
A,314.66,38.16,307.83,5
A,309.35,50.65,315.00,4
A,313.40,50.36,318.78,4
A,312.48,43.31,310.80,5
A,311.02,45.97,311.99,5
A,313.53,28.23,297.02,5
A,321.63,18.86,293.34,5
A,323.86,22.04,299.00,5
A,321.16,32.09,307.92,4
A,321.95,34.49,311.28,5
A,314.43,43.53,312.97,5
A,320.44,46.93,322.32,4
A,321.63,38.95,315.60,5
A,319.85,40.15,315.00,5
A,318.58,55.96,329.20,4
A,317.04,49.64,321.63,5
A,316.40,42.14,313.53,5
A,325.99,36.80,317.94,5
A,328.03,34.09,317.32,5
A,325.92,25.20,304.82,5
A,321.01,31.43,307.05,5
A,318.81,33.36,306.96,5
A,310.64,39.16,304.96,5
A,313.45,42.34,310.80,5
A,308.05,53.41,316.52,5
A,301.84,58.16,315.00,5
A,298.65,57.33,310.43,4
A,306.98,52.03,313.97,5
A,298.65,52.54,305.49,4
A,299.25,62.59,317.20,4
A,304.77,62.84,323.53,4
A,305.67,63.05,324.69,5
A,296.81,70.56,325.06,5
A,302.43,67.60,327.02,4
A,295.64,65.43,316.40,5
A,305.42,50.27,310.55,4
A,319.40,49.97,324.25,5
A,308.85,38.42,302.57,5
A,309.64,43.99,308.66,5
A,307.11,35.04,297.94,5
A,319.57,35.49,309.93,5
A,320.19,29.90,304.61,5
A,318.43,32.05,305.22,5
A,319.72,31.39,305.75,4
A,319.72,31.39,305.75,5
A,322.52,31.66,308.81,5
A,318.49,36.63,310.03,5
A,317.16,33.21,305.22,5
A,323.13,37.48,315.63,4
A,323.86,25.83,303.55,5
A,328.97,30.07,313.91,5
A,324.05,33.59,312.48,5
A,325.33,27.42,306.87,5
A,324.29,33.27,312.40,4
A,318.99,27.16,300.54,5
A,315.00,31.43,301.43,5
A,321.34,21.80,296.57,5
A,328.60,23.45,305.41,4
A,331.89,27.81,314.63,5
A,333.14,30.85,319.71,5
A,325.06,24.16,302.70,5
A,321.74,27.49,303.42,5
A,322.67,28.47,305.42,5
A,321.05,26.18,301.31,5
A,319.95,29.53,303.97,5
A,315.00,32.15,302.15,5
A,321.34,30.96,306.87,5
A,323.81,36.80,315.63,6
A,319.72,40.28,315.00,5
A,320.44,33.80,309.03,5
A,315.81,27.41,298.07,5
A,321.34,30.96,306.87,5
A,319.95,32.50,307.16,5
A,324.23,37.33,316.64,5
A,327.09,30.15,311.92,5
A,325.46,25.56,304.79,5
A,325.46,21.37,299.61,5
A,324.69,22.28,300.05,5
A,326.13,22.26,301.38,5
A,333.02,16.98,300.96,5
A,333.72,30.39,319.90,5
A,332.43,30.86,318.86,5
A,328.35,29.91,313.03,5
A,325.92,29.52,309.93,5
A,318.01,29.90,302.57,5
A,314.19,33.31,302.57,5
A,318.59,34.99,308.44,5
A,320.44,30.96,305.99,5
A,319.16,35.45,309.47,5
A,322.64,37.91,315.57,5
A,318.43,45.00,318.43,5
A,318.78,42.73,316.52,5
A,306.63,52.13,313.70,5
A,314.37,51.95,321.34,4
A,315.00,49.95,319.95,5
A,316.52,50.58,322.06,5
A,315.00,48.07,318.07,5
A,320.31,50.19,325.33,5
A,312.97,39.75,307.76,5
A,314.23,30.96,300.29,4
A,315.77,29.53,300.19,5
A,312.90,28.07,296.36,5
A,316.64,36.18,307.76,5
A,317.93,34.96,307.76,5
A,318.49,32.50,305.75,5
A,318.49,31.41,304.61,5
A,317.10,28.36,300.15,5
A,318.43,34.49,307.76,4
A,319.85,32.76,307.34,5
A,320.58,32.09,307.34,5
A,320.09,39.29,314.37,4
A,317.86,42.73,315.60,5
A,320.19,40.43,315.63,5
A,315.83,42.73,313.56,5
A,317.27,37.99,310.21,5
A,318.78,40.60,314.37,5
A,318.78,40.60,314.37,5
A,313.56,43.48,312.05,5
A,315.57,42.96,313.53,5
A,317.27,41.22,313.48,5
A,317.27,41.22,313.48,5
A,315.81,37.21,307.99,5
A,319.95,39.15,314.08,5
A,317.73,32.10,304.61,4
A,320.09,33.21,308.05,4
A,320.89,27.49,302.62,5
A,323.42,24.75,301.84,4
A,333.59,22.97,310.48,4
A,332.87,20.01,305.41,5
A,332.55,28.03,315.71,4
A,334.29,22.17,310.24,4
A,334.29,26.00,315.36,4
A,332.43,24.96,311.72,4
A,331.42,26.27,312.17,5
A,335.79,31.69,323.94,4
A,323.86,35.54,314.37,4
A,315.00,44.13,314.13,4
A,304.96,50.25,310.05,4
A,308.85,43.99,307.88,4
A,309.64,43.31,307.99,5
A,317.79,48.59,321.34,4
A,317.26,56.88,328.92,4
A,327.46,50.64,332.37,4
A,320.71,44.47,320.19,5
A,319.95,34.96,309.75,4
A,319.72,41.66,316.40,4
A,325.49,37.16,317.79,5
A,324.05,31.09,309.75,5
A,327.02,26.04,306.98,4
A,328.24,30.43,313.49,4
A,314.19,45.81,315.00,5
A,313.53,45.60,314.13,5
A,318.01,47.20,320.19,5
A,318.66,49.40,322.98,5
A,324.69,40.36,320.19,5
A,322.67,37.94,315.63,4
A,314.08,60.71,329.92,5
A,321.63,51.53,327.82,5
A,316.52,51.05,322.52,4
A,307.60,16.63,282.95,5
A,322.84,52.98,330.26,5
A,320.19,28.65,303.25,5
A,322.55,16.21,290.79,4
